ts_unix	user_id	side	proc_state	frame_id	rep_id	rms	mdf	sampen	msesen	iemg	rms_norm	dmdf	dsampen	dmsesen	diemg	FI	FI_ema	CV_norm	FI_hybrid	FIh_ema
1760781868.71	user01	R	CALIB	17607818687	0	201.19	158.68	1.96	1.76	172.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1760781870.54	user01	R	RUN	17607818705	0	211.83	97.53	1.89	1.18	171.74	1.0	-0.39	-0.03	-0.33	-0.01	-0.22	-0.22	0.0	-0.18	-0.18
1760781872.28	user01	R	RUN	17607818722	0	205.02	105.79	1.76	1.52	170.66	0.97	-0.33	-0.1	-0.13	-0.01	-0.16	-0.2	0.0	-0.13	-0.16
1760781874.11	user01	R	RUN	17607818741	0	237.91	87.84	2.13	2.13	193.69	1.13	-0.45	0.09	0.21	0.12	-0.02	-0.15	0.0	-0.02	-0.12
1760781875.94	user01	R	RUN	17607818759	1	216.78	161.27	1.98	1.39	182.54	1.03	0.02	0.01	-0.21	0.06	-0.07	-0.12	0.0	-0.05	-0.1
1760781877.67	user01	R	RUN	17607818776	2	261.63	104.05	1.84	1.02	191.47	1.24	-0.34	-0.06	-0.42	0.11	-0.28	-0.17	0.3	-0.16	-0.12
1760781879.49	user01	R	RUN	17607818794	3	236.62	100.74	2.25	0.91	200.36	1.12	-0.37	0.15	-0.48	0.16	-0.23	-0.19	0.45	-0.09	-0.11
1760781881.22	user01	R	RUN	17607818812	3	212.86	158.51	2.27	1.43	173.45	1.01	-0.0	0.16	-0.19	0.0	-0.02	-0.14	0.45	0.07	-0.05
1760781883.05	user01	R	RUN	17607818830	3	224.72	156.2	2.3	1.06	183.05	1.06	-0.02	0.17	-0.4	0.06	-0.1	-0.12	0.45	0.01	-0.03
1760781884.77	user01	R	RUN	17607818847	4	240.38	132.06	1.98	1.26	195.65	1.14	-0.17	0.01	-0.29	0.13	-0.15	-0.13	0.42	-0.04	-0.04
1760781886.59	user01	R	RUN	17607818865	4	195.09	123.45	2.1	1.68	160.84	0.92	-0.22	0.07	-0.04	-0.07	-0.04	-0.11	0.42	0.05	-0.01
1760781888.41	user01	R	RUN	17607818884	4	224.96	118.92	2.44	1.1	181.39	1.06	-0.25	0.25	-0.38	0.05	-0.13	-0.11	0.42	-0.02	-0.01
1760781890.13	user01	R	RUN	17607818901	5	221.56	89.64	1.89	1.06	191.68	1.05	-0.44	-0.04	-0.39	0.11	-0.26	-0.16	0.46	-0.12	-0.04
1760781891.95	user01	R	RUN	17607818919	6	216.63	130.66	2.23	1.63	183.01	1.03	-0.18	0.14	-0.08	0.06	-0.03	-0.12	0.23	0.02	-0.02
1760781893.77	user01	R	RUN	17607818937	6	248.42	138.99	2.15	1.46	210.93	1.18	-0.12	0.09	-0.17	0.22	-0.08	-0.11	0.23	-0.02	-0.02
1760781895.49	user01	R	RUN	17607818954	6	202.77	111.58	1.99	1.92	172.35	0.96	-0.3	0.01	0.09	-0.0	-0.04	-0.09	0.23	0.02	-0.01
1760781897.31	user01	R	RUN	17607818973	7	268.2	146.93	2.29	1.58	206.86	1.27	-0.07	0.17	-0.1	0.2	-0.03	-0.07	0.29	0.03	0.0
1760781899.12	user01	R	RUN	17607818991	8	218.38	65.59	2.04	0.96	181.89	1.03	-0.59	0.04	-0.46	0.05	-0.3	-0.14	0.33	-0.17	-0.05
1760781900.84	user01	R	RUN	17607819008	9	284.96	124.03	1.98	1.38	206.06	1.35	-0.22	0.01	-0.22	0.19	-0.16	-0.15	0.13	-0.11	-0.07
1760781902.65	user01	R	RUN	17607819026	10	219.89	179.51	2.41	1.45	178.5	1.04	0.13	0.23	-0.18	0.03	0.04	-0.09	0.1	0.05	-0.03
