ts_unix	user_id	side	proc_state	frame_id	rep_id	rms	mdf	sampen	msesen	iemg	rms_norm	dmdf	dsampen	dmsesen	diemg	FI	FI_ema	CV_norm	FI_hybrid	FIh_ema
1760781867.63	user01	L	CALIB	17607818676	0	930.24	72.31	1.58	1.17	794.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1760781868.74	user01	L	CALIB	17607818687	0	923.23	72.18	1.78	1.53	798.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1760781870.49	user01	L	RUN	17607818704	0	1127.08	72.67	1.5	0.38	972.11	1.02	0.01	-0.11	-0.72	0.22	-0.29	-0.29	0.0	-0.23	-0.23
1760781872.35	user01	L	RUN	17607818723	0	1109.11	71.18	1.69	0.82	884.02	1.0	-0.01	0.0	-0.39	0.11	-0.14	-0.24	0.0	-0.11	-0.19
1760781874.2	user01	L	RUN	17607818742	0	2486.96	2.86	0.53	0.44	1984.46	2.25	-0.96	-0.68	-0.68	1.49	-0.81	-0.41	0.0	-0.64	-0.33
1760781875.92	user01	L	RUN	17607818759	1	1295.92	70.28	1.11	1.67	1073.79	1.17	-0.03	-0.34	0.24	0.35	-0.04	-0.3	0.0	-0.03	-0.24
1760781877.77	user01	L	RUN	17607818777	2	1009.57	71.68	1.88	1.39	856.66	0.91	-0.01	0.12	0.03	0.08	0.05	-0.19	0.3	0.1	-0.14
1760781879.49	user01	L	RUN	17607818794	3	880.72	72.9	1.9	1.51	731.04	0.8	0.01	0.13	0.12	-0.08	0.1	-0.11	0.45	0.17	-0.04
1760781881.33	user01	L	RUN	17607818813	3	3299.32	3.42	0.55	0.72	2914.05	2.98	-0.95	-0.68	-0.46	2.66	-0.8	-0.31	0.45	-0.55	-0.2
1760781883.17	user01	L	RUN	17607818831	3	1059.44	5.94	1.46	1.19	895.49	0.96	-0.92	-0.13	-0.12	0.12	-0.31	-0.31	0.45	-0.15	-0.18
1760781884.89	user01	L	RUN	17607818848	4	712.08	72.67	1.98	1.22	582.07	0.64	0.01	0.18	-0.1	-0.27	0.06	-0.2	0.42	0.13	-0.09
1760781886.71	user01	L	RUN	17607818867	4	1113.62	71.78	1.23	1.54	835.89	1.01	-0.01	-0.27	0.14	0.05	-0.03	-0.15	0.42	0.06	-0.05
1760781888.43	user01	L	RUN	17607818884	4	1720.89	5.22	1.39	1.54	1474.48	1.55	-0.93	-0.18	0.14	0.85	-0.29	-0.19	0.42	-0.15	-0.08
1760781890.25	user01	L	RUN	17607818902	5	1158.21	68.44	1.39	1.7	918.61	1.05	-0.05	-0.18	0.26	0.15	0.02	-0.13	0.46	0.11	-0.02
1760781892.08	user01	L	RUN	17607818920	6	1393.1	71.17	1.29	1.53	1147.14	1.26	-0.01	-0.23	0.14	0.44	-0.05	-0.11	0.23	0.01	-0.01
1760781893.78	user01	L	RUN	17607818937	6	1075.16	72.77	1.89	1.32	930.29	0.97	0.01	0.13	-0.02	0.17	0.04	-0.06	0.23	0.08	0.01
1760781895.61	user01	L	RUN	17607818956	6	3278.09	4.45	0.78	0.74	2837.61	2.96	-0.94	-0.53	-0.45	2.56	-0.75	-0.27	0.23	-0.55	-0.16
1760781897.42	user01	L	RUN	17607818974	7	3136.17	4.36	0.73	0.77	2619.26	2.83	-0.94	-0.57	-0.43	2.29	-0.74	-0.41	0.29	-0.53	-0.27
1760781899.24	user01	L	RUN	17607818992	8	5695.68	3.78	0.4	0.37	5087.26	5.14	-0.95	-0.76	-0.73	5.39	-1.13	-0.63	0.33	-0.84	-0.44
1760781900.94	user01	L	RUN	17607819009	9	6318.13	3.79	0.34	0.38	5676.21	5.71	-0.95	-0.8	-0.72	6.13	-1.2	-0.8	0.13	-0.93	-0.59
